COILNU,PRODUCE_DATE,CUST,SLAB_QUALITY,ENDUSE,HNSPDI,WNSPDI,QUASTR,OPCCO,TEM_DIS,TEM_TDIS,UNI_DIS,UNI_TDIS,COMQUA,SLABTH,SLABWI,SLABWE,SLFUTI,RECODE,PASSNR,RMEXTG,HBA,DLBA,NSETU2,INDFAM,TUDES,TAVDES,TUFAMF,FPTF,FTGM,PLAMF1,PLAMF2,PLAMF3,PLAMF4,PLAMF5,PLAMF6,PLAMF7,TEMTAR,PSRCMS1,PSRCMS2,PSRCMS3,PSRCMS4,PSRCMS5,PSRCMS6,PSRCMS7,LRSSPY1,LRSSPY2,LRSSPY3,LRSSPY4,LRSSPY5,LRSSPY6,LRSSPY7,LRFSPY1,LRFSPY2,LRFSPY3,LRFSPY4,LRFSPY5,LRFSPY6,LRFSPY7,LSP_Head,LSP_Body,LSP_Tail,Des_Set,Des_Act,Entry_Head,Entry_Body,Entry_Tail,LFATU,LCAMPRSRT,LAGFMT,LAGCLT,LCBXON,DM1TGM,XVPTF1,XVPTF8,PSDRFT1,PSDRFT2,PSDRFT3,PSDRFT4,PSDRFT5,PSDRFT6,PSDRFT7,RIDAMF1,RIDAMF2,RIDAMF3,RIDAMF4,RIDAMF5,RIDAMF6,RIDAMF7,CONDITION,DateOutFur,LSB_Range,ENB_Range,BAR_Range,FurTime_R,TemDis_R,UNIDIS_R,ENTRY_R,EXIT_R,DRAFT_R,FT_AvgHead,FT_AvgBody,FT_AvgTail,CT_AvgHead,CT_AvgBody,CT_AvgTail,ENTSTD,CORPSR_M1,CORPSR_M2,CORPSR_M3,CORPSR_M4,CORPSR_M5,CORPSR_M6,CORPSR_M7,CD1,CD2,CD3,CD4,CD5,INSPECTOR1,INSPECTOR2,INSPECTOR3,INSPECTOR4,INSPECTOR5,FTH_Group,FTB_Group,FTT_Group,CTH_Group,CTB_Group,CTT_Group,TDIS_UTOL,TDIS_LTOL,LP_UTOL,LP_LTOL,ENT_UTOL,ENT_LTOL,FT_UTOL,FT_LTOL,CT_UTOL,CT_LTOL,RMCUR_UTOL,DELTA_T_H,DELTA_T_B,DELTA_T_T,DELTA_T_UTOL,DELTA_T_LTOL,FT_HEAD,FT_BODY,FT_TAIL,CT_HEAD,CT_BODY,CT_TAIL,SLPRNU,WCONENT1,WCONENT2,DESCALE_FM1,DESCALE_FM2,BARStd,CBTHSP,CBRUSP,DESCH1_MIN,DESCH1_MAX,DESCH2_MIN,DESCH2_MAX,DESCH_TOL,COOLING_STARTEGY,INTER_S,INTER_A,FLG_SPEED,DescaleCondition,HTWOFR,Off_SPEC,WRVERF,WRVERR,SPREFM,SPRFIN,LARGDE,TNVTRP1,TNVTRP2,TNVTRP3,TNVTRP4,TNVTRP5,TNVTRP6,TNVTRP7,DURPTF,DURAMF,TICSME,RMWAMF,BARWID_F,PSDRFT,PESPAD,AIM_WID,DateInFur,PESOCO,DateWei,PESBRA,TUSBHM,TUSBTM,FCENUM,HYPOWT,TAIL_HIT,WaterStain,HighTemp,Product,Thickness_Interval,Width_Interval,NPI_WaterStain,NPI_HighTemp,Unclear,NPI_Unclear,HDFBTH,HDFBTB,HDFBTT,HDFBBH,HDFBBB,HDFBBT,BlackBand,NPI_BlackBand
1257040031,20250702,TCM,C157PO,KDX,3.80,1219,CG157,31,1278,1260,19,30,J SAPH440,225,1260,19937,3.39,5,5,38,37.81,54264,1,3,860,490,848,9772,10550,4149,4773,5608,5552,6314,4399,0,1050,1.50,1.70,1.70,1.70,2.50,,,0,-1,-1,-1,-1,,,0,-1,-1,-1,-1,,,1117,1098,1105,4,4,1021,978,963,F,T,T,T,BYPASS CB,574,0.67,6.20,40.26,42.95,40.26,37.58,28.91,,,0.37,0.36,0.34,0.29,0.28,0.21,0.00,T3W2FT2POST2P5I3F,02/07/2025 14:10,1081 - 1100,961 - 980,37-38,3.21-3.40,1271-1280,19-21,0.61-0.70,6.01-7.00,91-92,-12,-12,0,-15,22,29,990,8408,9866,10403,11713,12907,,,511,110,124,211,214,N,,S,H,S,841 - 860,841 - 860,861 - 880,.LE. 540,.LE. 540,.LE. 540,1280,1240,1070,1030,1010,970,890,830,520,460,16000,373,336,342,400,340,475,512,519,474,511,518,YE25535090,T,T,T,T,38,2.5,2.5,160,170,160,172,160,8,5,5,F,_2345__,0,0,-2.47,-3.47,-6.78,-6.85,1229,1,1,1,1,1,1,1,0.72,0.76,1048,1251.95,1259.89,28.91,1237.53,10,02/07/2025 10:47,19.66,02/07/2025 14:37,19990,1123,1086,1,1,F,0,0,PO/POx,3.01 - 4.00,1201 - 1300,0,0,0,0,14,14,15,39,39,37,0,0
1257040041,20250702,TCM,C157POT,KDX,3.80,1219,CG157,31,1265,1260,19,30,J SAPH440,225,1255,19706,3.36,5,5,38,37.94,54029,1,3,860,490,855,10197,10223,4472,4570,5833,5517,6242,4659,0,1050,1.50,1.70,1.70,1.70,2.50,,,0,-1,-1,-1,-1,,,0,-1,-1,-1,-1,,,1113,1090,1105,4,4,1018,973,965,F,F,T,T,BYPASS CB,472,0.70,6.50,40.26,42.95,40.26,37.58,28.91,,,0.39,0.36,0.34,0.29,0.28,0.21,0.00,T3W2FT2POST2P5I3F,02/07/2025 14:16,1081 - 1100,961 - 980,37-38,3.21-3.40,1261-1270,19-21,0.61-0.70,6.01-7.00,91-92,-4,-8,0,21,21,16,990,8616,10145,10688,12148,12981,,,211,124,124,714,,,S,,,,841 - 860,841 - 860,841 - 860,.LE. 540,.LE. 540,.LE. 540,1280,1240,1070,1030,1010,970,890,830,520,460,16000,345,340,354,400,340,511,511,506,511,511,505,YE25535060,T,T,T,T,38,2.5,2.5,160,170,160,172,160,8,5,3,F,_2345__,-1,0,-4.45,-3.48,-6.47,-7.03,1228,1,1,1,1,1,1,1,0.73,0.72,1035,1250.62,1256.63,28.91,1235.20,10,02/07/2025 10:55,19.465,02/07/2025 14:31,19800,1098,1085,1,1,F,0,0,PO/POx,3.01 - 4.00,1201 - 1300,0,0,0,0,13,14,17,38,39,39,0,0
1257040051,20250702,TCM,C157POT,KDX,3.80,1219,CG157,31,1258,1260,13,30,J SAPH440,225,1250,19975,3.37,5,5,38,37.97,54045,1,3,860,490,845,10137,10279,4381,4415,5791,5549,6116,4501,0,1050,1.50,1.70,1.70,1.70,2.50,,,0,-1,-1,-1,-1,,,0,-1,-1,-1,-1,,,1094,1083,1089,4,4,1013,976,956,F,F,T,T,BYPASS CB,509,0.68,6.34,40.26,42.95,40.26,37.58,28.91,,,0.39,0.36,0.34,0.30,0.28,0.20,0.00,T3W2FT2POST2P5I3F,02/07/2025 14:23,1081 - 1100,961 - 980,37-38,3.21-3.40,1251-1260,13-15,0.61-0.70,6.01-7.00,91-92,-14,-12,0,1,18,33,990,8719,10312,10840,12402,13012,,,211,124,132,714,,,S,,,,841 - 860,841 - 860,861 - 880,.LE. 540,.LE. 540,.LE. 540,1280,1240,1070,1030,1010,970,890,830,520,460,16000,356,340,338,400,340,491,508,523,490,508,522,YE25536120,T,T,T,T,38,2.5,2.5,160,170,160,172,160,8,5,3,F,_2345__,-1,0,-6.04,-5.18,-6.66,-6.77,1228,1,1,1,1,1,1,1,0.73,0.72,1039,1250.81,1254.78,28.91,1232.94,10,02/07/2025 11:01,19.6,02/07/2025 14:46,19925,1106,1078,1,1,F,0,0,PO/POx,3.01 - 4.00,1201 - 1300,0,0,0,0,14,13,19,45,43,41,0,0
1257040061,20250702,TRUC,C154POT,AFF,4.50,1219,CG154,31,1258,1260,2,30,SS400,215,1250,22214,3.40,5,5,38,37.82,59185,1,3,860,530,839,10070,10119,3918,3936,4852,5201,5561,5036,0,1050,1.50,1.50,1.50,1.50,2.50,,,0,-1,-1,-1,-1,,,0,-1,-1,-1,-1,,,1077,1072,1079,4,4,999,956,939,F,T,T,T,BYPASS CB,483,0.71,5.60,38.66,41.24,38.66,33.51,27.76,,,0.36,0.33,0.31,0.28,0.27,0.22,0.00,T3W2FT2POST1P5I3F,02/07/2025 14:29,1061 - 1080,.LE. 960,37-38,3.21-3.40,1251-1260,.LE. 6,0.71-0.80,5.01-6.00,89-90,-21,-25,-18,-18,1,18,990,8670,10156,10761,11561,12800,,,132,313,714,,,,,,,,821 - 840,821 - 840,841 - 860,.LE. 540,.LE. 540,541 - 560,1280,1240,1070,1030,1010,970,890,830,560,500,16000,326,304,294,360,300,512,531,548,512,531,547,YR25074050,T,T,T,T,38,2.5,2.5,160,170,160,172,160,8,5,3,F,_2345__,0,1,-6.78,-5.10,-5.71,-4.98,1224,1,1,1,1,1,1,1,0.75,0.73,1013,1245.81,1250.78,27.76,1229.57,6,02/07/2025 11:05,21.755,02/07/2025 14:47,22090,1076,20,1,0,F,0,0,PO/POx,4.01 - 6.00,1201 - 1300,0,0,0,0,13,13,18,37,37,40,0,0
1257040071,20250702,KAWASA,C144PO,ADO,4.50,1218,CG145,31,1251,1260,4,30,J SS400,215,1250,22195,3.41,5,5,38,37.75,59236,1,3,840,530,836,10140,10159,4022,4056,4951,5472,5734,5354,0,1050,1.50,1.50,1.50,1.50,2.50,,,0,-1,-1,-1,-1,,,0,-1,-1,-1,-1,,,1046,1039,1044,4,4,980,926,924,F,T,T,T,BYPASS CB,510,0.74,5.78,38.66,41.24,38.66,33.51,27.76,,,0.35,0.34,0.31,0.28,0.27,0.22,0.00,T3W2FT1POST1P5I3F,02/07/2025 14:35,1021 - 1040,.LE. 960,37-38,3.41-3.60,1251-1260,.LE. 6,0.71-0.80,5.01-6.00,89-90,-1,-12,10,13,7,29,970,9095,10648,11335,12023,13363,,,511,132,313,714,,N,,,,,821 - 840,821 - 840,841 - 860,541 - 560,.LE. 540,541 - 560,1280,1240,1070,1030,990,950,870,810,560,500,16000,296,291,291,340,280,543,537,559,543,536,558,YR25072080,T,T,T,T,38,2.5,2.5,160,170,160,172,160,8,5,2,F,_2345__,0,1,-7.78,-5.65,-4.99,-3.55,1225,1,1,1,1,1,1,1,0.74,0.73,981,1246.10,1252.11,27.76,1229.19,6,02/07/2025 11:11,21.75,02/07/2025 15:04,22085,1021,1061,1,1,F,0,0,PO/POx,4.01 - 6.00,1201 - 1300,0,0,0,0,12,12,20,36,37,40,0,0
1257040081,20250702,SSSC,C083M13,ADO,6.00,1216,C082,31,1240,1250,16,30,SPHC,225,1260,20082,3.41,5,5,40,39.99,51310,1,2,860,560,864,9115,8465,2855,3279,4624,4620,5204,4858,0,1050,1.50,1.50,1.50,1.50,2.50,,,0,-1,-1,-1,-1,,,0,-1,-1,-1,-1,,,1075,1064,1076,4,4,994,959,952,F,T,T,T,BYPASS CB,542,0.84,5.27,40.41,43.10,40.41,35.02,29.01,,,0.25,0.28,0.30,0.27,0.26,0.23,0.00,T4W2FT2POST2P5I2F,02/07/2025 14:42,1061 - 1080,.LE. 960,39-40,3.41-3.60,1231-1240,16-18,0.81-0.90,5.01-6.00,85-86,3,-19,-5,-7,17,62,990,9514,10904,11259,11524,12931,,,101,212,714,252,,N,L,,,,861 - 880,841 - 860,841 - 860,541 - 560,561 - 580,621 - 640,1270,1230,1070,1030,1010,970,890,830,590,530,16000,310,264,232,330,270,553,577,622,553,576,622,YE25161100,T,T,T,T,40,2.5,2.5,155,177,155,179,155,1,5,3,F,_2345__,0,0,-6.58,-5.05,-5.02,-6.63,1226,1,1,1,1,1,1,1,1.06,1.11,1003,1247.15,1254.00,29.01,1230.17,10,02/07/2025 11:17,19.755,02/07/2025 15:19,20070,1066,1047,1,0,F,0,0,PO/POx,4.01 - 6.00,1201 - 1300,0,0,0,0,18,18,18,37,37,36,0,0
1257040091,20250702,KAWASA,C144PO,ADO,6.00,1218,CG145,31,1248,1250,19,30,J SS400,215,1245,22118,3.39,5,5,40,39.70,56376,1,3,840,510,841,9015,8712,3576,3774,4427,4058,4522,3701,0,1050,1.50,1.50,1.50,1.50,2.50,,,0,-1,-1,-1,-1,,,0,-1,-1,-1,-1,,,1049,1059,1065,4,4,989,958,945,F,T,T,T,BYPASS CB,555,0.77,4.84,38.23,40.78,38.23,33.13,27.45,,,0.31,0.32,0.32,0.24,0.24,0.19,0.00,T4W2FT1POST1P5I3F,02/07/2025 14:48,1041 - 1060,.LE. 960,39-40,3.21-3.40,1241-1250,19-21,0.71-0.80,4.01-5.00,85-86,2,-6,0,-14,33,75,990,9008,10594,11287,11828,12974,,,132,313,714,,,,,,,,841 - 860,821 - 840,841 - 860,.LE. 540,541 - 560,581 - 600,1270,1230,1070,1030,1010,970,870,810,540,480,16000,346,291,256,360,300,496,543,585,496,543,584,YR25072040,T,T,T,T,40,2.5,2.5,160,167,160,169,160,1,5,3,F,_2345__,0,1,-7.44,-5.76,-6.25,-5.48,1225,1,1,1,1,1,1,1,0.73,0.70,984,1247.37,1252.33,27.45,1230.94,6,02/07/2025 11:25,21.66,02/07/2025 15:23,21995,1063,20,1,0,F,0,0,PO/POx,4.01 - 6.00,1201 - 1300,0,0,0,0,18,18,18,37,37,36,0,0
1257040101,20250702,KAWASA,C144PO,ADO,6.00,1218,CG145,31,1262,1250,36,30,J SS400,215,1250,22158,3.39,5,5,40,39.70,56371,1,3,840,510,834,8554,9013,3437,3873,4912,4054,4539,3886,0,1050,1.50,1.50,1.50,1.50,2.50,,,0,-1,-1,-1,-1,,,0,-1,-1,-1,-1,,,1070,1070,1079,4,4,986,955,938,F,F,T,T,BYPASS CB,496,0.76,4.80,38.23,40.78,38.23,33.13,27.45,,,0.30,0.30,0.32,0.24,0.24,0.19,0.00,T4W2FT1POST1P5I3F,02/07/2025 14:55,1061 - 1080,.LE. 960,39-40,3.21-3.40,1261-1270,.GT. 30,0.71-0.80,4.01-5.00,85-86,-5,-4,-4,1,20,42,990,8764,10264,10879,11647,12784,,,132,313,714,,,,,,,,821 - 840,821 - 840,821 - 840,.LE. 540,.LE. 540,541 - 560,1270,1230,1070,1030,1010,970,870,810,540,480,16000,325,307,285,360,300,511,530,552,510,529,551,YR25078070,T,T,T,T,40,2.5,2.5,160,170,160,172,160,1,5,3,F,_2345__,0,0,-8.00,-6.70,-5.71,-6.43,1224,1,1,1,1,1,1,1,0.73,0.75,1016,1245.82,1249.44,27.45,1227.58,6,02/07/2025 11:31,21.785,02/07/2025 15:25,22115,1068,1035,1,0,F,0,0,PO/POx,4.01 - 6.00,1201 - 1300,0,0,0,0,17,18,20,40,40,41,0,0
1257040111,20250702,KAWASA,C144POT,ADO,6.00,1218,CG145,31,1277,1250,40,30,J SS400,215,1245,22101,3.42,5,5,40,39.72,56348,1,3,840,510,848,8465,8744,3479,3697,4686,4104,4465,3783,0,1050,1.50,1.50,1.50,1.50,2.50,,,0,-1,-1,-1,-1,,,0,-1,-1,-1,-1,,,1094,1082,1098,4,4,1012,971,958,F,F,T,T,BYPASS CB,511,0.77,4.80,38.23,40.78,38.23,33.13,27.45,,,0.31,0.30,0.31,0.25,0.24,0.19,0.00,T4W2FT1POST1P5I3F,02/07/2025 15:01,1081 - 1100,961 - 980,39-40,3.41-3.60,1271-1280,.GT. 30,0.71-0.80,4.01-5.00,85-86,10,-8,-11,7,17,37,990,8443,9931,10539,11129,12711,,,132,101,714,,,,,,,,841 - 860,821 - 840,821 - 840,.LE. 540,.LE. 540,541 - 560,1270,1230,1070,1030,1010,970,870,810,540,480,16000,333,305,282,360,300,517,527,547,517,526,547,YR25072010,T,T,T,T,40,2.5,2.5,160,170,160,172,160,1,5,5,F,_2345__,0,0,0.00,-7.45,-6.18,-7.66,1224,1,1,1,1,1,1,1,0.73,0.74,1024,1246.28,1248.11,27.45,1227.53,6,02/07/2025 11:36,21.545,02/07/2025 15:26,21890,1093,1048,1,0,F,0,0,PO/POx,4.01 - 6.00,1201 - 1300,0,0,0,0,18,18,21,40,40,43,0,0
1257040121,20250702,AKBT,C154POT,ADO,6.00,1222,CG154,31,1288,1250,23,30,J SAPH400,215,1250,22010,3.39,5,5,40,39.86,56149,1,3,860,540,847,8586,8797,3385,3593,4449,3928,4339,3537,0,1050,1.50,1.50,1.50,1.50,2.50,,,0,-1,-1,-1,-1,,,0,-1,-1,-1,-1,,,1096,1096,1107,4,4,1020,974,963,F,T,T,T,BYPASS CB,518,0.73,4.58,38.23,40.78,38.23,33.13,27.45,,,0.31,0.30,0.30,0.25,0.24,0.19,0.00,T4W2FT2POST1P5I3F,02/07/2025 15:07,1081 - 1100,961 - 980,39-40,3.21-3.40,1281-1290,22-24,0.71-0.80,4.01-5.00,85-86,-14,-21,-5,-33,23,79,990,8007,9421,10011,10515,12274,,,132,108,313,714,,,,,,,841 - 860,821 - 840,841 - 860,.LE. 540,561 - 580,601 - 620,1270,1230,1070,1030,1010,970,890,830,570,510,16000,339,276,236,350,290,507,563,619,507,563,618,YR25073010,T,T,T,T,40,2.5,2.5,160,182,160,186,160,1,5,5,F,_2345__,0,1,-8.30,-6.00,-6.92,-8.38,1229,1,1,1,1,1,1,1,0.74,0.75,1031,1252.08,1256.44,27.45,1235.12,6,02/07/2025 11:44,21.645,02/07/2025 15:28,22000,1095,1072,1,0,F,0,0,PO/POx,4.01 - 6.00,1201 - 1300,0,0,0,0,17,17,17,34,34,34,0,0
